iter	MultiClass
0	1.761410489
1	1.715168275
2	1.681204444
3	1.643193542
4	1.613425345
5	1.581475112
6	1.550347919
7	1.522052022
8	1.477722007
9	1.454416807
10	1.429822596
11	1.408478064
12	1.379023607
13	1.353743949
14	1.328307618
15	1.299914559
16	1.272087215
17	1.255702643
18	1.231800906
19	1.209948784
20	1.179738107
21	1.156879482
22	1.138065572
23	1.109959327
24	1.088259595
25	1.069627224
26	1.049812113
27	1.035327035
28	1.017533681
29	1.002979499
30	0.9888070463
31	0.9774479167
32	0.9627090876
33	0.9431266351
34	0.9282413021
35	0.9142610356
36	0.9003133948
37	0.8852530577
38	0.8696254343
39	0.8501814326
40	0.8377541147
41	0.8286365613
42	0.8171386454
43	0.806635853
44	0.7937262372
45	0.7818849017
46	0.7716002016
47	0.7586339907
48	0.7446086309
49	0.734722729
50	0.7218576616
51	0.7119482107
52	0.7032470763
53	0.6921286865
54	0.6806586915
55	0.6704934471
56	0.6634386761
57	0.6554866611
58	0.6472867359
59	0.6356890485
60	0.6271714543
61	0.6183113123
62	0.6099585418
63	0.6035141968
64	0.5943688804
65	0.5828922081
66	0.5746843875
67	0.5668923151
68	0.5583991269
69	0.5510794355
70	0.5417034062
71	0.5357140553
72	0.5265228601
73	0.5187371242
74	0.5112296143
75	0.5048998396
76	0.4990791624
77	0.4925703457
78	0.4863711526
79	0.47936662
80	0.4727000619
81	0.4654857867
82	0.4576384447
83	0.4508655085
84	0.444067873
85	0.436895795
86	0.4314436219
87	0.4254270085
88	0.4202137173
89	0.4146707837
90	0.4089533012
91	0.4030512442
92	0.3980487207
93	0.3929717824
94	0.3868634279
95	0.381955663
96	0.3780106865
97	0.3734550325
98	0.367569532
99	0.3634885988
100	0.3595619301
101	0.3552905873
102	0.3505125697
103	0.3460291946
104	0.3421571511
105	0.3377266264
106	0.3340733422
107	0.3297558322
108	0.3258948048
109	0.3220556758
110	0.3186524617
111	0.3146430619
112	0.3112059036
113	0.3057277598
114	0.3010506346
115	0.2982132238
116	0.2948059799
117	0.291425251
118	0.2878013611
119	0.2838124191
120	0.2811319415
121	0.2780761639
122	0.2749505613
123	0.2711962559
124	0.268536247
125	0.2659257342
126	0.2629005359
127	0.2599048576
128	0.2567980087
129	0.2541572674
130	0.2518121597
131	0.2487289853
132	0.246349277
133	0.2440942008
134	0.2416831788
135	0.2400606046
136	0.2384914027
137	0.2357927184
138	0.23378804
139	0.2313595296
140	0.228912399
141	0.2263595284
142	0.2246405565
143	0.2225677045
144	0.2201423019
145	0.217665728
146	0.2155932532
147	0.2135244332
148	0.2115233729
149	0.2094206877
150	0.2078571091
151	0.2055281657
152	0.2037304684
153	0.201814318
154	0.1996069024
155	0.1979007791
156	0.1958828362
157	0.1941281686
158	0.1925371148
159	0.1910150205
160	0.1892793111
161	0.1876110593
162	0.1860051156
163	0.1845603125
164	0.1830517242
165	0.1813151948
166	0.1800946618
167	0.1786678928
168	0.1771452372
169	0.1755970804
170	0.1739671648
171	0.1728415489
172	0.1715016696
173	0.1703092235
174	0.1687997654
175	0.1672601833
176	0.1662668832
177	0.1651154477
178	0.1637372748
179	0.1628766679
180	0.1613330176
181	0.1600272027
182	0.1586601424
183	0.1575477512
184	0.1564451672
185	0.1550157595
186	0.1536781979
187	0.1525424848
188	0.1515374205
189	0.1504888662
190	0.1496846504
191	0.1486035562
192	0.147472553
193	0.1460778897
194	0.1453224372
195	0.1444397243
196	0.1436158121
197	0.1425411897
198	0.1415431975
199	0.1407548526
200	0.1399565378
201	0.1389752417
202	0.1379776432
203	0.1370255781
204	0.1361683371
205	0.135460901
206	0.1346075288
207	0.1336974098
208	0.1325854382
209	0.1317999279
210	0.1309741431
211	0.1300963294
212	0.1293258675
213	0.1283198673
214	0.1276394791
215	0.1269241808
216	0.1260213096
217	0.1252907408
218	0.1244424767
219	0.1236909979
220	0.1227976273
221	0.1218120341
222	0.1208011847
223	0.1200848535
224	0.1195980596
225	0.1189421523
226	0.1184131267
227	0.1177603804
228	0.117067569
229	0.1163340109
230	0.115729075
231	0.1151370311
232	0.1143552139
233	0.1135493737
234	0.1127802883
235	0.1122617815
236	0.1117669181
237	0.1112746471
238	0.1107501455
239	0.1101913041
240	0.1094310425
241	0.1087908106
242	0.1082110559
243	0.107545526
244	0.1069650949
245	0.1065036721
246	0.105836184
247	0.1053373863
248	0.1045716832
249	0.104062516
250	0.1035252438
251	0.1029648581
252	0.1024248367
253	0.1017687523
254	0.1012364194
255	0.1008144043
256	0.10027362
257	0.09968182158
258	0.0991803834
259	0.09868134926
260	0.09821724155
261	0.09768775887
262	0.09722529253
263	0.09664957822
264	0.09607481154
265	0.09550718227
266	0.09514297277
267	0.09477461328
268	0.09440254998
269	0.09404984988
270	0.09359483581
271	0.09319560883
272	0.09272655957
273	0.0921916543
274	0.09168361341
275	0.09135729196
276	0.09102648949
277	0.09059683567
278	0.09024854905
279	0.08991605952
280	0.08953986961
281	0.08900064785
282	0.0885843667
283	0.08821336069
284	0.08771863251
285	0.08732598101
286	0.0868758435
287	0.08648344722
288	0.08604767163
289	0.08555712084
290	0.08529859378
291	0.08497334864
292	0.0846591055
293	0.08416221814
294	0.08384384416
295	0.08352511247
296	0.08314510953
297	0.082746074
298	0.08228786696
299	0.08193785878
300	0.08164432978
301	0.08128568589
302	0.08091302028
303	0.08062395501
304	0.08015338739
305	0.07979782749
306	0.07931061056
307	0.07898350809
308	0.0786574873
309	0.078417002
310	0.07797826711
311	0.07764929246
312	0.07730042647
313	0.07697740436
314	0.07659256736
315	0.07629227184
316	0.0759204159
317	0.07547552306
318	0.07513685426
319	0.07473066859
320	0.07451365701
321	0.07418407079
322	0.07390027475
323	0.07351243673
324	0.07321605016
325	0.0729557819
326	0.07254380173
327	0.07220661652
328	0.07191274781
329	0.07157799223
330	0.07126941191
331	0.07103491998
332	0.07074442091
333	0.07040787504
334	0.07019306955
335	0.06984891998
336	0.0695687281
337	0.06921326012
338	0.06896122715
339	0.06864307173
340	0.06841936223
341	0.06817331676
342	0.06795433088
343	0.06767781092
344	0.06740226713
345	0.0671602541
346	0.06689531541
347	0.06669662016
348	0.06646944168
349	0.06625147218
350	0.0660171016
351	0.06574351641
352	0.06550230657
353	0.06532046014
354	0.06513211147
355	0.06489899387
356	0.06462407805
357	0.06440676102
358	0.06420854682
359	0.06402573367
360	0.06380036284
361	0.06355181383
362	0.06324139778
363	0.06303416801
364	0.06283889729
365	0.06265881062
366	0.06247193742
367	0.06222180838
368	0.06203748574
369	0.06181144113
370	0.06158996255
371	0.06136612861
372	0.06108662096
373	0.06090604307
374	0.06070150271
375	0.06042980777
376	0.06020215658
377	0.05997003228
378	0.05974321977
379	0.05957263331
380	0.05938582659
381	0.05923279216
382	0.05896064632
383	0.05879238665
384	0.05859179498
385	0.05840965454
386	0.05820057153
387	0.05799738321
388	0.05780207778
389	0.05762573727
390	0.05744593173
391	0.0572783936
392	0.05708153614
393	0.05692449841
394	0.0567130848
395	0.05656639128
396	0.05635030584
397	0.05616672608
398	0.0560045986
399	0.05580894297
400	0.05557028361
401	0.05538976464
402	0.05523004082
403	0.05506951483
404	0.05487829031
405	0.05469191925
406	0.05455181938
407	0.05437800832
408	0.05418398144
409	0.05400245314
410	0.05385443774
411	0.05362943241
412	0.05351834926
413	0.05336751959
414	0.05322132034
415	0.05311477008
416	0.05295044513
417	0.05278572398
418	0.05264597468
419	0.05245929273
420	0.0523169784
421	0.05216250202
422	0.05205306931
423	0.05188517437
424	0.05176879607
425	0.05160390388
426	0.05144555601
427	0.05128129826
428	0.05114504414
429	0.05101863524
430	0.0508990334
431	0.05076292878
432	0.05063721356
433	0.05047432592
434	0.05029505514
435	0.05013961752
436	0.04997802215
437	0.04979252406
438	0.04966667574
439	0.04952072722
440	0.04939684577
441	0.04926688404
442	0.04913956123
443	0.048988511
444	0.04887848918
445	0.04872564455
446	0.0485857985
447	0.0484750083
448	0.0483294506
449	0.04820510316
450	0.04806420904
451	0.04794132833
452	0.04775767462
453	0.04766269592
454	0.04752583381
455	0.04738414435
456	0.04725659516
457	0.0470776814
458	0.04695860207
459	0.04684040707
460	0.04670353874
461	0.04657705159
462	0.04638464415
463	0.04628171934
464	0.04616189221
465	0.04598235145
466	0.04585473252
467	0.04576789513
468	0.0456520414
469	0.04553928959
470	0.0453835967
471	0.04527898404
472	0.04517323555
473	0.04505725138
474	0.04495103517
475	0.04482381708
476	0.04472133855
477	0.04457271908
478	0.04445270615
479	0.04437410255
480	0.0442847615
481	0.04417346511
482	0.04407141519
483	0.04396749605
484	0.04387408405
485	0.04374356958
486	0.04361044178
487	0.04353352165
488	0.04341536177
489	0.04328427627
490	0.04318808632
491	0.0430637106
492	0.04294359572
493	0.04279601612
494	0.04268502516
495	0.04253912269
496	0.04243158624
497	0.04229874642
498	0.04220898419
499	0.04210605831
500	0.04198236572
501	0.04190435753
502	0.04180746504
503	0.04168235192
504	0.0415532171
505	0.04144740814
506	0.04134361257
507	0.04124699381
508	0.04116782176
509	0.04107581661
510	0.04100240722
511	0.04088771811
512	0.04080043506
513	0.04069394527
514	0.04060321763
515	0.04050107774
516	0.04039595172
517	0.04031327416
518	0.04022635249
519	0.04013494129
520	0.04004084353
521	0.03995803406
522	0.03988092882
523	0.03978856337
524	0.03968957904
525	0.03960903621
526	0.03953403304
527	0.03940705906
528	0.03931199636
529	0.03922999701
530	0.03915161158
531	0.03905404503
532	0.0389733818
533	0.03890083684
534	0.03882307267
535	0.03871866194
536	0.03860292425
537	0.0385057951
538	0.03842229508
539	0.0383367
540	0.03825706553
541	0.03814944328
542	0.03806973524
543	0.037990623
544	0.03789368405
545	0.03781190591
546	0.03772970744
547	0.03764139551
548	0.0375600528
549	0.03748082709
550	0.03738019229
551	0.03728612112
552	0.03720526407
553	0.0370948251
554	0.03701331326
555	0.03693774485
556	0.03684891512
557	0.03676145733
558	0.03668349734
559	0.03659530499
560	0.03652060767
561	0.03645403363
562	0.03639140159
563	0.03632755875
564	0.03627314427
565	0.03619653328
566	0.03609414953
567	0.03601045389
568	0.03594377828
569	0.03585374005
570	0.03577339392
571	0.03570266414
572	0.03563289725
573	0.03555261883
574	0.03549549726
575	0.03538900136
576	0.03532322518
577	0.0352478728
578	0.03517457319
579	0.03510046935
580	0.03500794611
581	0.03493459913
582	0.03487951997
583	0.03481760851
584	0.03475003441
585	0.03468227778
586	0.03461224381
587	0.03454081509
588	0.03445225138
589	0.03437446336
590	0.03429081683
591	0.03421571513
592	0.03415109464
593	0.03407977394
594	0.03401684568
595	0.03395107491
596	0.03388283349
597	0.03382816954
598	0.03376652508
599	0.03369438214
600	0.03363201316
601	0.03357750603
602	0.03352072926
603	0.03344893413
604	0.0333823294
605	0.03331544428
606	0.03324214131
607	0.03318970737
608	0.03309165173
609	0.03302223612
610	0.03296459224
611	0.03290394065
612	0.03285808019
613	0.03278135598
614	0.03269270351
615	0.03263717901
616	0.03257697969
617	0.03251411858
618	0.03244993603
619	0.03237737226
620	0.03232494753
621	0.03227888541
622	0.03221715196
623	0.03213925995
624	0.03208386386
625	0.03203201968
626	0.03197200042
627	0.03191512218
628	0.03186980661
629	0.03179815716
630	0.03171416316
631	0.03164926672
632	0.03159051054
633	0.03152511852
634	0.03145101246
635	0.03139243466
636	0.03132001658
637	0.0312603184
638	0.0312146757
639	0.0311560743
640	0.03108469134
641	0.03102471238
642	0.0309800274
643	0.03092825368
644	0.03087550532
645	0.03082502301
646	0.03075594759
647	0.03071175481
648	0.03066597315
649	0.03061175403
650	0.03056686663
651	0.03050275451
652	0.03043737373
653	0.03039129115
654	0.03033346559
655	0.03027899564
656	0.03023434974
657	0.03018064848
658	0.03012510707
659	0.03007105541
660	0.03001063817
661	0.02996318721
662	0.029917063
663	0.02984406786
664	0.02978866835
