iter	Logloss
116	0.4769861174
117	0.4754666766
118	0.4744733652
119	0.4726983885
120	0.4713848356
121	0.4699829624
122	0.4689505237
123	0.4675538208
124	0.4664093891
125	0.4650671655
126	0.4638554334
127	0.4624716233
128	0.4610363047
129	0.4600783631
130	0.4589256596
131	0.4572866349
132	0.4557970115
133	0.4548662948
134	0.4535428096
135	0.4527220974
136	0.4514184731
137	0.4502579045
138	0.4494124935
139	0.4483112851
140	0.4470086894
141	0.4457600893
142	0.4445576229
143	0.4434546744
144	0.4423239298
145	0.4408390474
146	0.4394821633
147	0.4384112309
148	0.4370882199
149	0.4359338298
150	0.4351444742
151	0.4342159041
152	0.4332024225
153	0.4320067903
154	0.4307580091
155	0.4299419151
156	0.4290951662
157	0.4279268393
158	0.4267076504
159	0.4259116862
160	0.4248374249
161	0.4236835758
162	0.4225318382
163	0.421415133
164	0.4206429537
165	0.4195786305
166	0.4182836713
167	0.4169589938
168	0.4159938608
169	0.4147743865
170	0.4137826836
171	0.4129649647
172	0.4119714253
173	0.4109864733
174	0.4098102616
175	0.4087555658
176	0.4077148181
177	0.4065344331
178	0.4058269482
179	0.4047210242
180	0.4034908894
181	0.4026804155
182	0.4018300816
183	0.4008617657
184	0.3998779183
185	0.398983431
186	0.397744131
187	0.3966844639
188	0.3957712722
189	0.3951051944
190	0.3941258237
191	0.3932623046
192	0.3922685233
193	0.3911773413
194	0.3903702729
195	0.3895944016
196	0.3885766803
197	0.387676471
198	0.3866846647
199	0.3857915103
200	0.3848109974
201	0.3841389827
202	0.3835966138
203	0.3826115575
204	0.3818158013
205	0.381129857
206	0.3802998685
207	0.3794179833
208	0.3789778574
209	0.377805827
210	0.3770344049
211	0.3760613915
212	0.3750276298
213	0.3738768003
214	0.3726790976
215	0.3716988808
216	0.3707778228
217	0.369880403
218	0.3689455587
219	0.3680527909
220	0.3671794164
221	0.3663633838
222	0.3656142665
223	0.3646626971
224	0.3637459545
225	0.3628872493
226	0.3620948807
227	0.3612587125
228	0.3604722362
229	0.3596673271
230	0.358740673
231	0.3579635145
232	0.3571506949
233	0.3561457731
234	0.3554727252
235	0.3547071121
236	0.3541799664
237	0.3536593463
238	0.3528880553
239	0.352138547
240	0.3513442944
241	0.3506929524
242	0.3503731397
243	0.3496539415
244	0.3488405818
245	0.3480092357
246	0.3470773892
247	0.3463390285
248	0.3454539973
249	0.3445123823
250	0.3438414526
251	0.3433858181
252	0.3423693496
253	0.34149034
254	0.3408487134
255	0.33999903
256	0.3393901897
257	0.3389297088
258	0.3382212526
259	0.3377657129
260	0.3370326278
261	0.3362644582
262	0.335485857
263	0.3347180523
264	0.3337899379
265	0.3328826903
266	0.3322480685
267	0.3315645682
268	0.3308859869
269	0.3305062125
270	0.3297423526
271	0.3290007478
272	0.3284815139
273	0.3276197293
274	0.3269782079
275	0.3261451205
276	0.325545512
277	0.324878925
278	0.3241654102
279	0.3233919366
280	0.3225725072
281	0.3218048764
282	0.32113292
283	0.3205070999
284	0.3197856208
285	0.3190511608
286	0.318183956
287	0.3176541442
288	0.3168432113
289	0.3161239415
290	0.3154125387
291	0.3148677556
292	0.3141267321
293	0.3133926495
294	0.3131095867
295	0.3124369934
296	0.3117550961
297	0.3110754865
298	0.310612561
299	0.3100469882
300	0.3096787207
301	0.30914218
302	0.3085281737
303	0.3080527027
304	0.3072952819
305	0.3066178911
306	0.306063174
307	0.305475176
308	0.3047652916
309	0.304000433
310	0.3032429024
311	0.302532983
312	0.3018164306
313	0.3011501359
314	0.3004741922
315	0.2998229979
316	0.2992167838
317	0.2986439941
318	0.2981278952
319	0.2976322644
320	0.2968847798
321	0.2963401965
322	0.2955043804
323	0.2950604377
324	0.2944886919
325	0.2940387617
326	0.2935524106
327	0.2931197488
328	0.2927944203
329	0.2921927693
330	0.2915705058
331	0.2909500462
332	0.2902673869
333	0.2897469038
334	0.2891881532
335	0.2886534766
336	0.2881820843
337	0.2875666206
338	0.2870089416
339	0.286787825
340	0.2863490999
341	0.2856641331
342	0.2851887926
343	0.2846092806
344	0.2841065799
345	0.2834982769
346	0.2829263365
347	0.2822949515
348	0.2817268552
349	0.2811610205
350	0.2807098065
351	0.2801601823
352	0.2796715293
353	0.2794320585
354	0.2790136771
355	0.2785709449
356	0.2780903397
357	0.2774647109
358	0.2769470323
359	0.2762111522
360	0.2756001543
361	0.2751166169
362	0.2745247227
363	0.2742538939
364	0.2737014951
365	0.2732324439
366	0.2727634316
367	0.272225482
368	0.2718270124
369	0.2712104089
370	0.2706716473
371	0.2701665986
372	0.2695684966
373	0.2690902455
374	0.2684148283
375	0.2677457226
376	0.2670695183
377	0.2664879536
378	0.2660685723
379	0.2654628761
380	0.2648614116
381	0.2642846645
382	0.2636691766
383	0.2633679842
384	0.2628685921
385	0.2626188358
386	0.2620923736
387	0.2615796777
388	0.2611784238
389	0.2609402713
390	0.2603060983
391	0.2597781259
392	0.259210389
393	0.2586328164
394	0.2583782802
395	0.2580025482
396	0.257383644
397	0.2570791156
398	0.2566149253
399	0.2560780319
400	0.2555791552
401	0.2551510704
402	0.2545728722
403	0.2541116448
404	0.2537155244
405	0.2532653882
406	0.2527271761
407	0.2522870435
408	0.2519657908
409	0.2514160504
410	0.2508077083
411	0.2502632971
412	0.2498097582
413	0.2494073097
414	0.2489734321
415	0.2487538373
416	0.2483439821
417	0.247844445
418	0.2473987468
419	0.2468852044
420	0.2463917468
421	0.2461457018
422	0.2455851218
423	0.2452956216
424	0.2447914194
425	0.2443703812
426	0.2439492018
427	0.243399839
428	0.2429454204
429	0.2424524899
430	0.2420329053
431	0.2416656061
432	0.2409585922
433	0.2405789403
434	0.2402556885
435	0.2396261074
436	0.239249045
437	0.238756231
438	0.2382884122
439	0.2379462538
440	0.2374002717
441	0.2368987411
442	0.2367226814
443	0.2362294602
444	0.2359161785
445	0.2355838924
446	0.2352371564
447	0.2349456654
448	0.2346215582
449	0.2341773094
450	0.2337925181
451	0.2334351921
452	0.2330407104
453	0.2327748918
454	0.2323569982
455	0.2319750701
456	0.2314882411
457	0.2312969868
458	0.2309005706
459	0.2305580679
460	0.2301596415
461	0.2298213049
462	0.2294512658
463	0.2291249969
464	0.2285147715
465	0.2281276523
466	0.2275669391
467	0.2272059274
468	0.226698062
469	0.2265099207
470	0.2260106319
471	0.2255475076
472	0.2251269016
473	0.2247279148
474	0.2244840908
475	0.2240892493
476	0.2237069164
477	0.2234489362
478	0.2230736599
479	0.2227535487
480	0.2223948045
481	0.2221798231
482	0.2218809668
483	0.2214585203
484	0.2210823607
485	0.2206097647
486	0.2201757233
487	0.2199023983
488	0.2194609817
489	0.2191061683
490	0.2187879181
491	0.218485559
492	0.2180327299
493	0.217589621
494	0.2171832049
495	0.2167752791
496	0.2164339058
497	0.2161785726
498	0.2157518039
499	0.2154352821
500	0.2151879917
501	0.2148378619
502	0.214327785
503	0.2140034992
504	0.2137187361
505	0.2133924767
506	0.2130168165
507	0.21273791
508	0.2123379415
509	0.2119809753
510	0.2116056249
511	0.2112800177
512	0.2108470251
513	0.2104998766
514	0.2100903009
515	0.209763934
516	0.2094590766
517	0.209001458
518	0.2088070706
519	0.2085198493
520	0.2083493805
521	0.2079723642
522	0.2076554064
523	0.2073472439
524	0.2069808527
525	0.20668288
526	0.2063376468
527	0.2058908958
528	0.205560861
529	0.2052790012
530	0.2048689467
531	0.2045293747
532	0.2042314084
533	0.2040039647
534	0.2037933339
535	0.2034581204
536	0.2030958317
537	0.2027105621
538	0.2023868441
539	0.2020354499
540	0.2017431977
541	0.2016279799
542	0.2013911561
543	0.2011053663
544	0.2007377496
545	0.2004781262
546	0.2001813244
547	0.1998634044
548	0.1995468114
549	0.1992845759
550	0.1990104168
551	0.1987204837
552	0.1983546419
553	0.1980667483
554	0.1977176535
555	0.1974414407
556	0.1971587536
557	0.1969927674
558	0.196733328
559	0.196421343
560	0.1961986921
561	0.1959227605
562	0.1956320264
563	0.1952057138
564	0.1949008015
565	0.1947212913
566	0.1943937191
567	0.1940933093
568	0.1938151707
569	0.1934918354
570	0.1934054065
571	0.1931094269
572	0.1927713285
573	0.1923189024
574	0.1920580579
575	0.1917044951
576	0.1914775202
577	0.1911612527
578	0.1907860608
579	0.1905363516
580	0.1903305398
581	0.1902022369
582	0.1898591668
583	0.1896333251
584	0.1893927356
585	0.189140228
586	0.188878145
587	0.1885107516
588	0.1882301655
589	0.1880670593
590	0.1877359619
591	0.1874308294
592	0.1871204359
593	0.1868334673
594	0.1863930192
595	0.1862705305
596	0.1859641947
597	0.1857502557
598	0.1853733841
599	0.184976551
600	0.1847599032
601	0.1844626868
602	0.1841225392
603	0.1837755125
604	0.1834386359
605	0.1831374285
606	0.1829067637
607	0.1826540481
608	0.182464861
609	0.1822415099
610	0.1819574207
611	0.1816949369
612	0.1813655818
613	0.1810817842
614	0.1807384088
615	0.180519364
616	0.1804145859
617	0.180050187
618	0.1798196573
619	0.1795427008
620	0.1793128949
621	0.1789696618
622	0.1787548382
623	0.1785089397
624	0.1782916773
625	0.1779818907
626	0.1775695525
627	0.1773803508
628	0.1771076951
629	0.1768058509
630	0.1763924907
631	0.1760628818
632	0.1757307179
633	0.1755250802
634	0.1751920603
635	0.1749029712
636	0.1746765717
637	0.1743587574
638	0.1741510501
639	0.1739192514
640	0.1737421959
641	0.1735156065
642	0.1732438546
643	0.1729955667
644	0.1727236778
645	0.1724381932
646	0.1721202919
647	0.1719639482
648	0.1717054759
649	0.1714487048
650	0.1711965625
651	0.171090957
652	0.17081518
653	0.1706308635
654	0.1703523964
655	0.1701603242
656	0.1700176662
657	0.1697292616
658	0.1695767238
659	0.1694075463
660	0.169177852
661	0.1688682189
662	0.168619239
663	0.1683353205
664	0.1680501313
665	0.16784978
666	0.1675794612
667	0.16738917
668	0.1673254322
669	0.1671175538
670	0.1668218222
671	0.1665571582
672	0.1662308149
673	0.1659232456
674	0.1656705327
675	0.1653596631
676	0.1651015974
677	0.1649119972
678	0.1646864236
679	0.164490988
680	0.1643164955
681	0.1640869723
682	0.1638112112
683	0.1635230778
684	0.1632794467
685	0.1631104236
686	0.1628486124
687	0.1626037208
688	0.1623566775
689	0.1621029217
690	0.161959469
691	0.1617882099
692	0.1615499207
693	0.1613466795
694	0.1611306877
695	0.1608504489
696	0.1605766271
697	0.1603057176
698	0.1600734985
699	0.1598340366
700	0.1595977953
701	0.1594679553
702	0.1591835591
703	0.1589865942
704	0.1587189164
705	0.1585713619
706	0.1583628728
707	0.1580496119
708	0.1578855488
709	0.1576255836
710	0.1573772571
711	0.1571525948
712	0.1569700319
713	0.1566969527
714	0.1565197122
715	0.1561888423
716	0.1559929206
717	0.1557608546
718	0.1555054392
719	0.1552591255
720	0.1550017985
721	0.1548461301
722	0.1545913246
723	0.1543852597
724	0.1542961738
725	0.1540637729
726	0.153917112
727	0.1537948895
728	0.1535192235
729	0.1533291467
730	0.1531264874
731	0.1528937958
732	0.1527097155
733	0.1525694502
734	0.1522869191
735	0.1521311609
736	0.1519347467
737	0.1517519161
738	0.1514439492
739	0.1512631093
740	0.1511270771
741	0.1509032369
742	0.150715031
743	0.1505252948
744	0.1502977443
745	0.1500967752
746	0.1500079256
747	0.1498807957
748	0.149679431
749	0.1494633183
750	0.1493100667
751	0.1491170032
752	0.1489856206
753	0.148860668
754	0.148632243
755	0.1483594566
756	0.1481443327
757	0.1479626366
758	0.1478155581
759	0.1476540209
760	0.1474204554
761	0.1471632516
762	0.1469454865
763	0.1465807961
764	0.1463381777
765	0.1461429474
766	0.1459096936
767	0.1457044097
768	0.1454947814
769	0.1453781326
770	0.1451378664
771	0.144923739
772	0.1447346902
773	0.1445594296
774	0.144316417
775	0.1441302955
776	0.1439644315
777	0.1437956413
778	0.1435701885
779	0.1435192939
780	0.1433198896
781	0.1430805776
782	0.1428903611
783	0.1427214058
784	0.1425290065
785	0.1423273266
786	0.1421655126
787	0.1419535037
788	0.1418165866
789	0.1416582204
790	0.1414344152
791	0.1412363916
792	0.141090019
793	0.1408098117
794	0.1406223882
795	0.1404438044
796	0.1403708292
797	0.1401892366
798	0.1399551016
799	0.1398642744
800	0.1397063412
801	0.1394849996
802	0.1392144137
803	0.1390305631
804	0.1387748476
805	0.1386389411
806	0.1384756022
807	0.1382499011
808	0.1380108791
809	0.137962933
810	0.1378087936
811	0.1375658059
812	0.1373294036
813	0.1372154342
814	0.1370287955
815	0.1368010192
816	0.1365913454
817	0.1364506176
818	0.1362502997
819	0.136082378
820	0.1358942227
821	0.1357501242
822	0.135580525
823	0.135423654
824	0.1352256819
825	0.1350561325
826	0.1349057261
827	0.1347308369
828	0.1345294371
829	0.134381269
830	0.134236018
831	0.1340868992
832	0.1338485567
833	0.1336392554
834	0.1335472967
835	0.1333418875
836	0.1331369465
837	0.1328955331
838	0.1326657808
839	0.1324710164
840	0.1323331781
841	0.1321531245
842	0.1319795136
843	0.1317813887
844	0.1316309866
845	0.1314670522
846	0.1312626045
847	0.1310804054
848	0.1308795053
849	0.1306994829
850	0.1305250455
851	0.1303822185
852	0.1302456562
853	0.1300855977
854	0.1298955291
855	0.1296991327
856	0.1295993162
857	0.1294905763
858	0.1293273955
859	0.1291625604
860	0.128959163
861	0.128758083
862	0.128537054
863	0.1283015411
864	0.1282322926
865	0.1281077289
866	0.1279407758
867	0.1278109989
868	0.1275002608
869	0.1272887163
870	0.1271032229
871	0.1269879964
872	0.1268389071
873	0.126660263
874	0.1264669284
875	0.1263165146
876	0.1261245928
877	0.1259174926
878	0.1258567211
879	0.1256578237
880	0.1255530312
881	0.1253761013
882	0.1252397331
883	0.125139407
884	0.1250013404
885	0.1248136737
886	0.124636874
887	0.1244743253
888	0.1242833825
889	0.1240898088
890	0.1238816476
891	0.1236986901
892	0.1235569782
893	0.1234012788
894	0.1232812869
895	0.1231585408
896	0.1229466183
897	0.1228474394
898	0.1226707934
899	0.1224628406
900	0.1223089598
901	0.1221629021
902	0.1220487554
903	0.1219343414
904	0.1218219253
905	0.1216663237
906	0.1215075843
907	0.1214038072
908	0.1212136627
909	0.1210033786
910	0.1209005323
911	0.1207318715
912	0.1205713156
913	0.1205132133
914	0.1203977775
915	0.120228445
916	0.1200770134
917	0.1198757194
918	0.1197364353
919	0.1195338183
920	0.1193471701
921	0.1191505614
922	0.1189720319
923	0.1188094824
924	0.1185707679
925	0.1184165029
926	0.1182641853
927	0.1180937245
928	0.1178931405
929	0.1177063201
930	0.1175087337
931	0.1173335524
932	0.117132304
933	0.1170227034
934	0.1169012338
935	0.1167854836
936	0.1166103548
937	0.1164766367
938	0.1162999641
939	0.1161477687
940	0.1159971977
941	0.1158325252
942	0.1156654694
943	0.115522214
944	0.1153645818
945	0.1151830224
946	0.1150627129
947	0.1148968115
948	0.1147384275
949	0.1145926115
950	0.1144607604
951	0.1143750445
952	0.1143053982
953	0.1141485895
954	0.1139972231
955	0.1138403729
956	0.1136628981
957	0.1135139083
958	0.1133594697
959	0.1132714822
960	0.1131735069
961	0.1130497478
962	0.112858984
963	0.1127011613
964	0.1125551826
965	0.1124365137
966	0.1123307798
967	0.1121970098
968	0.1120368951
969	0.1119124969
970	0.1118468657
971	0.1117231054
972	0.1115949781
973	0.1114887624
974	0.1113327435
975	0.1112107032
976	0.1110217392
977	0.1108960425
978	0.1107666566
979	0.1106025048
980	0.1104868151
981	0.1103533185
982	0.1102319136
983	0.1101025748
984	0.1099977688
985	0.1098344576
986	0.1097188008
987	0.1095980476
988	0.1094662609
989	0.109376165
990	0.10919324
991	0.1091149931
992	0.108963945
993	0.1088224993
994	0.1087033929
995	0.1085775627
996	0.1084565917
997	0.1082982513
998	0.1081846081
999	0.1080581869
